"Industry divisions of enterprises","Time","Tabulated variable","Area","/Legal organization","Companies","Corporations other than companies"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Japan","","1,691,566","273,654"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Hokkaido","","73,544","12,145"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Aomori-ken","","14,510","3,107"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Iwate-ken","","13,678","3,364"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Miyagi-ken","","28,390","4,356"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Akita-ken","","11,404","2,872"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Yamagata-ken","","14,082","3,536"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Fukushima-ken","","26,143","4,407"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Ibaraki-ken","","33,253","4,714"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Tochigi-ken","","26,951","3,649"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Gumma-ken","","28,358","4,383"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Saitama-ken","","80,956","9,071"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Chiba-ken","","62,597","8,086"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Tokyo-to","","263,844","27,169"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Kanagawa-ken","","105,327","11,748"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Niigata-ken","","30,001","6,768"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Toyama-ken","","14,204","3,654"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Ishikawa-ken","","16,726","3,619"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Fukui-ken","","12,220","3,098"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Yamanashi-ken","","11,599","2,504"
"All industries (excluding S_Government, except elsewhere classified)","2021","Number of enterprises, etc.[number of enterprises, etc.]","Nagano-ken","","30,798","5,278"
