"Time","Single or multi-unit enterprises","Area","Industry groups of enterprises","/Tabulated variable","Number of enterprises, etc.[number of enterprises, etc.]"
"2021","Total","Japan","All industries (excluding S_Government, except elsewhere classified)","","3,507,118"
"2021","Total","Japan","Agriculture and Forestry","","31,017"
"2021","Total","Japan","Fisheries","","3,162"
"2021","Total","Japan","Mining and Quarrying of Stone and Gravel","","1,341"
"2021","Total","Japan","Construction","","410,186"
"2021","Total","Japan","Manufacturing","","327,913"
"2021","Total","Japan","Electricity, Gas, Heat Supply and Water","","5,276"
"2021","Total","Japan","Information and Communications","","52,620"
"2021","Total","Japan","Transport and Postal Activities","","63,997"
"2021","Total","Japan","Wholesale and Retail Trade","","710,012"
"2021","Total","Japan","Finance and Insurance","","29,305"
"2021","Total","Japan","Real Estate and Goods Rental and Leasing","","312,755"
"2021","Total","Japan","Scientific Research, Professional and Technical Services","","203,776"
"2021","Total","Japan","Accommodations, Eating and Drinking Services","","390,661"
"2021","Total","Japan","Living-Related and Personal Services and Amusement Services","","318,800"
"2021","Total","Japan","Education, Learning Support","","102,643"
"2021","Total","Japan","Medical, Health Care and Welfare","","286,308"
"2021","Total","Japan","Compound Services","","5,351"
"2021","Total","Japan","Services, n.e.c.","","251,989"
